Year,ACE,Error
1.980000000000000000e+03,1.489000000000000057e+02,1.500000000000000000e+01
1.981000000000000000e+03,1.002999999999999972e+02,1.500000000000000000e+01
1.982000000000000000e+03,3.150000000000000000e+01,1.500000000000000000e+01
1.983000000000000000e+03,1.739999999999999858e+01,1.500000000000000000e+01
1.984000000000000000e+03,8.429999999999999716e+01,1.000000000000000000e+01
1.985000000000000000e+03,8.800000000000000000e+01,1.000000000000000000e+01
1.986000000000000000e+03,3.579999999999999716e+01,1.000000000000000000e+01
1.987000000000000000e+03,3.439999999999999858e+01,1.000000000000000000e+01
1.988000000000000000e+03,1.030000000000000000e+02,1.000000000000000000e+01
1.989000000000000000e+03,1.350999999999999943e+02,1.000000000000000000e+01
1.990000000000000000e+03,9.679999999999999716e+01,1.000000000000000000e+01
1.991000000000000000e+03,3.550000000000000000e+01,1.000000000000000000e+01
1.992000000000000000e+03,7.620000000000000284e+01,1.000000000000000000e+01
1.993000000000000000e+03,3.870000000000000284e+01,1.000000000000000000e+01
1.994000000000000000e+03,3.200000000000000000e+01,1.000000000000000000e+01
1.995000000000000000e+03,2.270999999999999943e+02,1.000000000000000000e+01
1.996000000000000000e+03,1.661999999999999886e+02,1.000000000000000000e+01
1.997000000000000000e+03,4.089999999999999858e+01,1.000000000000000000e+01
1.998000000000000000e+03,1.818000000000000114e+02,1.000000000000000000e+01
1.999000000000000000e+03,1.765000000000000000e+02,1.000000000000000000e+01
2.000000000000000000e+03,1.190999999999999943e+02,7.000000000000000000e+00
2.001000000000000000e+03,1.100999999999999943e+02,7.000000000000000000e+00
2.002000000000000000e+03,6.740000000000000568e+01,7.000000000000000000e+00
2.003000000000000000e+03,1.763000000000000114e+02,7.000000000000000000e+00
2.004000000000000000e+03,2.269000000000000057e+02,7.000000000000000000e+00
2.005000000000000000e+03,2.453000000000000114e+02,7.000000000000000000e+00
2.006000000000000000e+03,8.329999999999999716e+01,7.000000000000000000e+00
2.007000000000000000e+03,7.390000000000000568e+01,7.000000000000000000e+00
2.008000000000000000e+03,1.456999999999999886e+02,7.000000000000000000e+00
2.009000000000000000e+03,5.260000000000000142e+01,7.000000000000000000e+00
2.010000000000000000e+03,1.655000000000000000e+02,7.000000000000000000e+00
2.011000000000000000e+03,1.262999999999999972e+02,7.000000000000000000e+00
2.012000000000000000e+03,1.325999999999999943e+02,7.000000000000000000e+00
2.013000000000000000e+03,3.610000000000000142e+01,7.000000000000000000e+00
2.014000000000000000e+03,6.670000000000000284e+01,7.000000000000000000e+00
2.015000000000000000e+03,6.270000000000000284e+01,7.000000000000000000e+00
2.016000000000000000e+03,1.413000000000000114e+02,7.000000000000000000e+00
2.017000000000000000e+03,2.249000000000000057e+02,7.000000000000000000e+00
2.018000000000000000e+03,1.325999999999999943e+02,7.000000000000000000e+00
2.019000000000000000e+03,1.321999999999999886e+02,7.000000000000000000e+00
2.020000000000000000e+03,1.798000000000000114e+02,7.000000000000000000e+00
2.021000000000000000e+03,1.456999999999999886e+02,7.000000000000000000e+00

