ar0,ar1,ar2,ar3,ar4
1.700234270612872356e+00,4.753304185912753388e-01,9.462683322026174126e-01,-7.710146553175565298e-01,-4.827725362984426338e-01
2.008325792043601232e-01,-1.143188919962658812e-01,-8.279892372128880851e-01,1.910354779404896675e-01,-1.753634264989949232e+00
-7.248728308335805615e-01,-1.480560320516021156e+00,-5.774630025432824221e-01,5.710772910351043230e-02,-2.002679019102543645e+00
-1.626239829608863152e+00,1.575640890823755580e+00,-1.601260682392267320e-01,6.742402180760693753e-01,-1.734848117247365096e-01
7.086461086720544644e-01,-1.818619833872703762e+00,1.327153749542947070e+00,5.500171970296405810e-01,-2.448312078001540215e-01
3.640797077577164198e-01,-3.363114284950308175e-02,-1.297489807572647535e+00,2.637446622158700071e-01,-1.406173722093060130e+00
5.147332241638337413e-02,-1.579098024700066105e+00,2.042827615061496349e+00,9.366866612898337996e-01,-2.878555347078172844e+00
-3.272989652037325281e-01,7.617264242663726037e-01,-1.307263788327330589e+00,-5.859405792062661877e-01,-3.650192274310148921e+00
9.313411444868089362e-01,-1.990477564678973188e+00,-8.496666035702855613e-01,-5.966236732317525826e-01,-2.964335829051885085e+00
-6.306606609489239235e-01,8.891237812497644333e-01,-3.092710080212751067e-01,-1.072401674903968871e+00,-3.514489846131811923e+00
-2.374879998479067500e-01,-1.951484916612868270e+00,3.916118736907621689e-01,-4.807105204104387131e-01,-2.783829848423834186e+00
6.859691307256271520e-01,1.678824537095334746e+00,-6.179722210015926587e-01,-3.752483572054384764e-01,-2.749963433080162556e+00
2.173547828056554998e+00,-2.169155276137830324e+00,1.201467767357363492e+00,7.614393990423121705e-01,-2.246994799440712232e+00
-7.059714880597566244e-01,3.251298526435881797e+00,-1.695253122378041155e+00,7.950587980531923504e-01,-1.459235337689686496e+00
-6.137879523365417089e-01,-4.104065471000168941e+00,-5.828514321033003709e-01,6.633093973370343122e-01,-7.934868201610667526e-02
6.766127286703129684e-01,2.666212612810133109e+00,3.209649345644777774e-01,6.199457904696525912e-01,-6.859639385077593854e-01
1.126694615292759050e+00,-1.232593644696341917e+00,-6.515519356622618830e-01,2.892481950922733525e+00,-6.398024938593049882e-01
1.868074067486217960e+00,-4.399727578033514330e-01,2.291148131300739521e-01,3.017924452905316635e+00,8.190326179347584556e-01
1.785485217976739702e-01,-2.019483608439827660e-01,-7.234803325827922071e-01,3.301128869955737510e+00,1.190628072679728477e+00
-2.792984511446634510e-01,1.452173575823564100e+00,-5.904636354233506745e-01,4.436344039759393398e-01,1.180611803236647717e+00
3.777879146844069225e-01,-3.681957581160265613e-01,-1.231768845818211000e+00,-7.795446368930232239e-01,1.487872400866152356e+00
-6.026856200375702022e-01,1.541886895378685285e+00,1.019190611103014454e+00,-7.847149717070106556e-02,1.706553963013168751e+00
-2.824410121990703071e-01,-1.836812289855884073e+00,-9.958873240928447501e-01,-7.778084886512506291e-01,3.241998081173525392e+00
1.494500831853123435e+00,2.770456839558577578e+00,-4.210407726364710501e-01,-1.337718564160418344e+00,1.218403986741998901e+00
1.112553352039697740e+00,-2.757408395060733763e+00,1.439764190606603877e+00,-1.877772152343951451e+00,1.294065717993082343e+00
-6.105821613748035892e-01,1.525528858642353658e+00,-8.234371297872471462e-01,-8.460120945570275275e-01,1.143463919978657817e+00
