# arma0,arma1,arma2,arma3,arma4,arma5,arma6,arma7,arma8,arma9,arma10,arma11,arma12,arma13,arma14,arma15,arma16
-5.496872167096834572e-01,1.130703306455714818e+00,2.334695615169148919e+00,-3.497583525516427261e-01,-4.068398997282792195e-01,-6.480663585906885071e-01,6.063342453106783658e-01,-2.746761260906105839e+00,7.863323270506074325e-03,3.330821807046240868e-01,-1.051389581139797746e+00,3.536018243214605339e-01,-4.888310440167230597e-01,2.191517412429821662e-02,1.619470153579505023e-01,7.743199403791545254e-02,5.794690026840150221e-01
1.496813077683523563e+00,-1.316656949050257097e+00,-6.005884984103737612e-01,-1.287440624259579280e+00,8.048198812950966285e-01,1.943493793356103172e+00,-3.254130042581492299e-01,3.312661615576904417e+00,-1.593848370823894633e+00,-1.171763197120893607e-01,-1.305106755025242871e+00,1.258067194752452433e-01,-5.583952556965559033e-01,-1.271070051918641308e-01,-1.566285222677128219e+00,3.212638743517690076e-01,3.856009536333655785e-02
5.602514564865576085e-01,2.092828031006794376e+00,3.100300967215595449e+00,1.330949288463718627e+00,-8.999305140187912055e-01,2.635753016082064359e+00,-2.906780157239892137e-01,-1.613618375183604181e+00,1.874074880574066126e+00,-6.733264161404639569e-01,-3.026779062277957233e-01,4.082426944764528387e-01,8.870803346739153383e-01,3.410887254646638445e-01,-2.461080914034090128e+00,-3.128189533911100439e-01,-4.398644725297408131e-01
-1.196849274683972508e+00,-3.060993455136952757e-01,-2.235514308551446838e+00,-2.277541478788206675e+00,1.037672888859614506e+00,3.456045150472609739e-01,-5.377305280927102693e-01,2.244732164735223634e+00,-8.373569960724502881e-01,-4.830159927728264191e-01,1.241388055849367011e-01,-2.972601644178704539e-01,-1.754501150211599247e+00,7.359740400400620608e-01,-2.084903136393203127e+00,1.587669483316656693e+00,-1.771542083161200543e+00
-4.793830133590295528e-01,5.948069191978971881e-01,4.165228571697878301e+00,3.965988065237553872e+00,4.834159331341967292e-01,8.066383944258400662e-01,3.549202627486482409e-01,-1.315070728667328881e+00,1.223293821305729834e+00,8.891046538458646786e-02,2.278007014585910206e-01,9.001525490900548210e-01,1.451725569462678500e+00,-1.068323841109842354e+00,-1.838960071692357756e+00,1.089569751643868489e+00,1.002004025858434233e-01
1.412378992970641789e-01,-1.779411505520470671e-01,-2.697846999881757579e+00,-5.093010311941796431e+00,-1.245666628945252707e+00,3.538026886950288996e-01,-1.172799351491668585e+00,4.547532952597915790e-01,-2.456975365047864734e+00,1.614887516298068260e+00,4.356696520338690926e-01,-8.345396729737132313e-01,9.319933028251334850e-01,-2.564354190624664742e+00,6.097904425878057921e-01,2.521572232017541548e-01,-1.220631635592433595e+00
9.936441923504062412e-01,-2.860973681923556722e+00,3.693258093048864321e+00,4.941090689724433105e+00,6.171997064923337994e-01,4.764683678453692783e-01,1.152898634690954882e+00,-1.679796404218442563e+00,9.521638145905486628e-01,-4.849980705602492392e-01,1.158790496059845854e+00,5.808653176296035836e-01,-8.735366438532973232e-01,-3.724805956898403547e+00,1.599639682212409264e+00,-4.360388758180794855e-01,1.551518829985380377e+00
-4.444664614357593524e-01,1.764564736840574244e-01,-3.274634873543848634e+00,-4.332013803090942972e+00,-1.269577233941284522e+00,2.877500988823677996e+00,3.378457389488845886e-01,2.295672484264481117e+00,1.040041959489667711e+00,-2.058970551101986679e+00,5.016986356231042388e-01,1.248576345943054999e+00,7.933844331509174452e-01,-4.148057793112211122e+00,9.500204549428719059e-01,9.536663725270441150e-01,-5.580006889513224877e-01
-1.741951668718132451e+00,-8.886304831396314441e-01,3.909219643581690384e+00,3.508991164573629806e+00,3.293731945552537788e+00,8.593893207762172137e-01,-2.625511280213571955e-02,1.163663659879679013e-01,-1.147950866052639185e+00,-1.338154775833872323e+00,-1.161712017509650474e+00,1.933275071050555960e+00,-1.015787241715901956e+00,-2.135027186603259075e+00,9.457200707959363406e-01,1.760805136490964262e+00,7.014825290998262242e-01
-1.249982109432586919e+00,2.891112867462743430e-01,-5.230215615816034891e+00,-2.578161104232103096e+00,-5.357447972355783961e+00,2.347699920049917122e-01,-4.265489606766810216e-01,-1.135452358147514218e+00,-1.497135357642676023e-02,-6.725475745818052520e-01,-2.687829479461096849e+00,1.227064280225170556e+00,2.845767095120787182e+00,-1.817750422235046015e+00,-7.544982095580869963e-01,1.108526312332688057e+00,-5.594213537201472297e-01
1.118452217087562817e+00,-4.149106610229480463e-01,4.512595168945630952e+00,1.388887898053114300e+00,3.270256087142402013e+00,1.722185066119295005e+00,-9.912607329976211856e-01,8.397741734624746268e-01,1.222003139627471979e+00,8.843735530501987130e-01,-1.593406152022913025e+00,-1.499689209569839532e+00,-2.498129432218502810e+00,-3.163974030727216391e+00,-7.632465893639981402e-01,-1.722862607414938907e-01,7.520427921588285214e-02
-8.570830727110279046e-01,-8.050021002750278321e-01,-4.557177565093614824e+00,5.366051507730991155e-01,-1.676957223590298973e+00,7.273147472588941120e-01,-2.992208814472243628e-01,-9.675272334699955845e-01,1.071431055499967533e+00,1.712577379975979142e+00,-1.809336491148782811e+00,1.875134682346653037e-01,5.956094571251855374e-01,-4.373032763217642227e+00,-6.075960112234324306e-03,-1.262618605280977802e+00,5.375032144250919686e-01
-4.118267917215366336e-01,-7.484628259793821847e-01,3.236643664519106345e+00,-4.823514077478545103e-01,2.374848451954463702e+00,1.886907437848438229e-02,1.932575868135591124e+00,7.640039072064670478e-01,-1.736085831529972312e+00,1.978216198657253511e+00,-9.827509449182333379e-01,9.140416240901357015e-02,1.102257131214709807e+00,-3.082160338147375889e+00,4.499291052800597490e-01,-1.698628095880757138e+00,1.659439261339152427e+00
-8.001321017994220686e-01,-2.760874351353735268e+00,-3.057068480955583922e+00,8.060026172041303560e-01,-2.249368202345689571e+00,2.694594871986124573e+00,1.132574116642285356e+00,-4.343093218509839204e-01,-9.903969051530935319e-01,1.454646581468395983e+00,1.133942983198894527e-01,-7.718607642004672309e-01,-4.904900896499883589e-01,-3.181301803745836043e+00,3.985938464604882325e-01,2.453448816870973381e-02,-1.051817821636848782e+00
6.773038626782296179e-01,5.592079050566267640e-01,2.828669436472073251e+00,-5.761907661499198197e-01,2.067353487349272712e+00,2.371035072116509212e+00,8.588220913516326771e-01,-5.784433654485767740e-01,1.320954057965067374e+00,2.518078358834553998e-01,9.483921388363838467e-01,-1.062641563880978079e+00,6.886869762268145179e-01,-4.902819324570768522e+00,-1.643253619823574763e-01,-8.641784285463010029e-01,1.696738344360451678e-01
-6.017135458749737209e-01,8.217689694125809297e-01,-1.879664725506660083e+00,-9.561378091629413323e-01,-1.884999936373183971e+00,3.855958272749623883e-02,-8.844525986997374689e-01,5.092307987911002254e-01,-9.798341322669126274e-01,8.418418129712814668e-01,7.688392153814442853e-01,-6.689557651936579585e-01,-1.885881235407431689e+00,-6.309154467944315670e+00,-1.232921591856889876e+00,-6.800828236001346117e-01,-2.338432183717509272e+00
9.136311007094880532e-01,-1.539125190256849018e+00,1.630994480316551698e+00,1.460695461875038736e+00,1.267127116485944338e+00,-7.252746124520650928e-02,9.590018906447589364e-02,-8.661096761009003941e-01,4.157670903084071945e-01,1.632093469905489425e+00,-1.157400362384763293e+00,5.293458141829002761e-01,-1.285614418495244937e+00,-6.546204614503157160e+00,-1.173509120849673959e+00,-4.354559867935623996e-01,-3.378703736266284174e-01
