ylogistic,xdpend,ydpend,xlorenz,ylorenz,zlorenz
4.000000000000000222e-01,2.597540542909755334e-01,3.437216146144331328e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.050000000000000044e+00
9.119999999999999218e-01,2.597578670030101233e-01,3.355699035329962228e-03,1.000000000000000056e-01,9.899999999999999911e-01,1.021996499999999974e+00
3.049728000000002104e-01,2.597693085820819703e-01,3.111102932406396154e-03,1.890000000000000013e-01,1.007078003499999985e+00,9.957298533449999711e-01
8.054646867886081640e-01,2.597883893627090934e-01,2.703293062658609480e-03,2.708078003500000164e-01,1.048045294042177833e+00,9.710771155829037715e-01
5.954270354755225592e-01,2.598151260613696389e-01,2.132043573218103758e-03,3.485315497192177925e-01,1.110761272623343787e+00,9.480166773177750583e-01
9.153959874213427605e-01,2.598495410079328383e-01,1.397035674582780291e-03,4.247545220096303753e-01,1.193938356601438988e+00,9.266044260108650121e-01
2.942954598101410468e-01,2.598916610755993561e-01,4.978551158748259660e-04,5.016729054688112699e-01,1.296994444997498608e+00,9.069631931288273385e-01
7.892054401520590678e-01,2.599415162947660840e-01,-5.660110198369056088e-04,5.812050594216799926e-01,1.419942925476288753e+00,8.892811544840695248e-01
6.321688108685243890e-01,2.599991381350238995e-01,-1.795178186961186905e-03,6.650788460271408464e-01,1.563312365797251413e+00,8.738168062177478213e-01
8.836193406476807732e-01,2.600645574633116408e-01,-3.190368819612231666e-03,7.549021980041519253e-01,1.728089748295694061e+00,8.609093718381644056e-01
3.907775656279469101e-01,2.601378022048401184e-01,-4.752417220634606171e-03,8.522209530333061389e-01,1.915682442483069625e+00,8.509943063846091560e-01
9.046677473534017189e-01,2.602188946940154901e-01,-6.482274877083275474e-03,9.585671019782825431e-01,2.127895133119434679e+00,8.446241354017525182e-01
3.277272541573090225e-01,2.603078482710719510e-01,-8.381017049796411073e-03,1.075499905092397679e+00,2.366918681244829514e+00,8.424953124212676281e-01
