ylogistic,xlorenz,ylorenz,zlorenz,tent
4.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.050000000000000044e+00,2.000000000000000111e-01
9.119999999999999218e-01,2.000000000000000111e-01,9.799999999999999822e-01,9.939999999999999947e-01,7.953487812212205466e-01
3.049728000000002104e-01,3.560000000000000386e-01,1.068424000000000040e+00,9.449066666666666725e-01,-2.364350132603636467e-01
8.054646867886081640e-01,4.984848000000000612e-01,1.239687784533333392e+00,9.021188233244444854e-01,6.976406055141011198e-01
5.954270354755225592e-01,6.467253969066667496e-01,1.485051666418244265e+00,8.663651297605182711e-01,-1.034523161145350922e-01
9.153959874213427605e-01,8.143906508089822083e-01,1.806310848709403505e+00,8.393674020744488207e-01,1.159801958838510227e+00
2.942954598101410468e-01,1.012774690389066423e+00,2.212571936891380542e+00,8.240219939833537399e-01,-6.961858743986282239e-01
7.892054401520590678e-01,1.252734139689529291e+00,2.718783352374824602e+00,8.248908914712156371e-01,-1.014264358101375496e-01
6.321688108685243890e-01,1.545943982226588354e+00,3.345271423928166232e+00,8.490149650715406171e-01,1.170567408664702214e+00
8.836193406476807732e-01,1.905809470566903974e+00,4.117844033975039508e+00,9.071662114691181333e-01,-7.091745474739715727e-01
3.907775656279469101e-01,2.348216383248530992e+00,5.068162737669082318e+00,1.015740536689439644e+00,-1.194625938107990448e-01
9.046677473534017189e-01,2.892205654132641079e+00,6.234097086147201594e+00,1.199590563537288102e+00,1.081489236873631299e+00
3.277272541573090225e-01,3.560583940535553271e+00,7.659661058528402400e+00,1.496218216967967862e+00,-6.008834550590361756e-01
8.372239839513143655e-01,4.380399364134122564e+00,9.393846632960286769e+00,1.961877235161845423e+00,3.491804640644413649e-02
5.178639416624140068e-01,5.383088817899355227e+00,1.148711722834794635e+01,2.680219778975734712e+00,1.778411557261661002e+00
9.487873424354710261e-01,6.603894499989073630e+00,1.398334739937028814e+01,3.773998170133406216e+00,-1.412463321005942074e+00
1.846417008248876224e-01,8.079785079865317243e+00,1.690339965620250595e+01,5.419609287369050676e+00,-9.951753353570653715e-01
5.720867439372451235e-01,9.844507995132754985e+00,2.021422574262735594e+01,7.862080185533079302e+00,-4.939655188916980411e-01
9.302533051243989659e-01,1.191845154463167589e+01,2.377489948015204746e+01,1.142275138107891586e+01,1.988570330457262170e-01
2.465519550322171904e-01,1.428974113173575056e+01,2.725090417870747217e+01,1.648073772274166160e+01,7.986358296339359786e-01
7.059035363076331393e-01,1.688197374113009630e+01,2.999803161454513400e+01,2.338993237058475572e+01,-2.408133243813130875e-01
7.888941881968425385e-01,1.950518531581310455e+01,3.095461179554667197e+01,3.227098895086706420e+01,6.866990175075642355e-01
6.328525624991317988e-01,2.179507061175981875e+01,2.866939094026669466e+01,4.262537832917799108e+01,-8.817794183283567122e-02
8.829307472221741282e-01,2.316993467746119251e+01,2.172078005329863615e+01,5.284905281707369795e+01,1.246923221670493742e+00
3.927833627610960443e-01,2.288010375262868124e+01,9.771345840865050647e+00,6.009581776639839745e+01,-8.005987482612261230e-01
9.063174522568887559e-01,2.025835217027595547e+01,-5.111193886365416716e+00,6.136209561836000148e+01,-2.434252358286174145e-01
3.226432863675894880e-01,1.518444295894768103e+01,-1.852619165214125729e+01,5.601856320350309204e+01,6.802423599798675946e-01
8.304694652921422726e-01,8.442316036729893725e+00,-2.666459331420369239e+01,4.740470849154682753e+01,-7.912380297781262950e-02
5.350017435361971163e-01,1.420934166543176502e+00,-2.940771508164471015e+01,4.037423889701001656e+01,1.306361761693982881e+00
9.453445362078197745e-01,-4.744795683094401362e+00,-2.917122035668639768e+01,3.738521761344662764e+01,-8.709902576365728954e-01
1.963393274653991993e-01,-9.630080617812801336e+00,-2.769717714920900775e+01,3.815956894910949870e+01,-3.358560144550171156e-01
5.996027446321688936e-01,-1.324349992409204191e+01,-2.518648424578178435e+01,4.145891291514482901e+01,4.777396836457024065e-01
9.123013143946080428e-01,-1.563209678842999040e+01,-2.111789231746450923e+01,4.591891493694690496e+01,2.250845533765788442e-01
3.040289793642185767e-01,-1.672925589423689274e+01,-1.509333021835526090e+01,5.007224487379468059e+01,7.267381279493063673e-01
8.040623644696863748e-01,-1.640207075906056744e+01,-7.406418960908760951e+00,5.245172881757396510e+01,-1.436706540236236673e-01
5.986750983497937106e-01,-1.460294039943020650e+01,7.628891432535862549e-01,5.208391543799815082e+01,9.805984475094362551e-01
9.130002548695024256e-01,-1.152977449089344830e+01,7.781550994908595698e+00,4.908329812083216126e+01,-4.756883741705426605e-01
3.018370000153589583e-01,-7.667509393733039857e+00,1.248763343215987121e+01,4.467113165784077466e+01,2.284305049387997943e-01
8.007794166609311093e-01,-3.636480828554457645e+00,1.479440193532976267e+01,4.037369036982432391e+01,7.180463039124256319e-01
6.062206215498179285e-01,4.969572422238677234e-02,1.539844765278986927e+01,3.714443570327858168e+01,-1.317160185178141152e-01
9.071252823187673231e-01,3.119446109935883449e+00,1.508138991263648165e+01,3.517870387259717546e+01,1.028216188183686208e+00
3.201462170880832181e-01,5.511834870476003623e+00,1.433189051698865413e+01,3.424341799463332592e+01,-5.351484098881605922e-01
8.270799437346378902e-01,7.275845999778534079e+00,1.335699892637333441e+01,3.399700264648053150e+01,1.340317582730755630e-01
5.434710995448751580e-01,8.492076585097494856e+00,1.221719359352473511e+01,3.412749851615156160e+01,1.018683631912582044e+00
9.428190013165661520e-01,9.237099986782942196e+00,1.093214598816963345e+01,3.438235213498030163e+01,-5.233007493185732883e-01
2.048630618773961409e-01,9.576109187060280803e+00,9.534414571972828156e+00,3.456825319903796867e+01,1.524415984323321815e-01
6.189979134713343711e-01,9.567770264042790629e+00,8.085760084488459398e+00,3.455066492794081512e+01,9.479421277344228791e-01
8.961900870399814867e-01,9.271368228131924738e+00,6.670539740653486760e+00,3.425521669642169797e+01,-4.344869544448803911e-01
3.535269767387571593e-01,8.751202530636236432e+00,5.377240599054728065e+00,3.366517241026559759e+01,2.972155222472794289e-01
8.684734831355033213e-01,8.076410144319934759e+00,4.278154364409495258e+00,3.281084297915052161e+01,5.571382704310992029e-01
4.340637104587617978e-01,7.316758988337847214e+00,3.415504456330473282e+00,3.175197393974949733e+01,1.003304197910357409e-01
9.334791417418292214e-01,6.536508081936371894e+00,2.798148586250433834e+00,3.055834378824080488e+01,1.176483069529533854e+00
2.359641679641150680e-01,5.788836182799184549e+00,2.407732917561270281e+00,2.929436786983765728e+01,-7.163010267820667520e-01
6.850833017242482503e-01,5.112615529751601606e+00,2.209720588034666200e+00,2.801076101208022351e+01,-1.293096305285911241e-01
8.198278514068332301e-01,4.532036541408214880e+00,2.164425837924428997e+00,2.674280279399857108e+01,1.038291889420138059e+00
5.612985527650566908e-01,4.058514400711457526e+00,2.235090594713036172e+00,2.551270511809147834e+01,-5.476421386493600663e-01
9.357214522298562542e-01,3.693829639511773344e+00,2.392283224759608196e+00,2.433345045910401794e+01,1.148118862846837507e-01
2.285579010534793676e-01,3.433520356561340137e+00,2.615309747642413196e+00,2.321240016825294816e+01,1.103109502901804984e+00
