random,persistent,antipersistent
1.000000000000000000e+00,2.142729102697612520e-01,4.898455078374843175e-01
9.887681416473387275e-01,2.205219693624484445e-01,4.921054793139503780e-01
9.797403308292798041e-01,2.273963811414501657e-01,4.661513130530299809e-01
9.819363473519668872e-01,2.328593992680343394e-01,5.008810096086613317e-01
9.605148931192796224e-01,2.349313265159008457e-01,5.353535821407009454e-01
9.545950912229509422e-01,2.297424721788010049e-01,6.575816582259345067e-01
9.339272919765665426e-01,2.252479927443640229e-01,6.642634657283948973e-01
9.128824392010359556e-01,2.242707889973228341e-01,5.442260998688120965e-01
9.629640527149119222e-01,2.219976810445098148e-01,5.921231040531286238e-01
9.438559999247573273e-01,2.198976704523633585e-01,6.725638156842831394e-01
9.415259333214186510e-01,2.231948676088753303e-01,7.224148368565501688e-01
9.493233288658131652e-01,2.292550889704336736e-01,7.789766541982461323e-01
9.457653080571903903e-01,2.295038176946630204e-01,8.543883131107438134e-01
9.191520443494017867e-01,2.276733202846261128e-01,8.631549221114341863e-01
8.942706601716882142e-01,2.274593697655062641e-01,7.450476240056158606e-01
9.267520199545475901e-01,2.258858322718882705e-01,7.852723099466524248e-01
9.175074137317142942e-01,2.219645895390820467e-01,7.225338818795464801e-01
8.698833398473698741e-01,2.124583117833482304e-01,6.623606497941642024e-01
8.712676296485367677e-01,2.029963413878957679e-01,7.342430014140384209e-01
8.557794712692666783e-01,1.995114292358450558e-01,6.982736407641821907e-01
8.368077493252114030e-01,2.008328692789976555e-01,7.567576617277421702e-01
8.114845470030301877e-01,2.006226367768832453e-01,7.764387753212342869e-01
8.530392897875929137e-01,2.018022295622845519e-01,8.936587519253785805e-01
9.065893142960976814e-01,2.024681917222848626e-01,8.352043231808976564e-01
8.948058487799656069e-01,1.966545648718560357e-01,8.361189177761376712e-01
8.911621078658766848e-01,1.947110044241425475e-01,7.552358065345224913e-01
8.854869769496213072e-01,1.906028567345509350e-01,8.041182712800477583e-01
8.647202439962352605e-01,1.938238060356199388e-01,7.450786936386708526e-01
8.658026658492591343e-01,1.918638810706534137e-01,6.966488224017686193e-01
8.823699568439273833e-01,1.953400521528648737e-01,6.996080160509947632e-01
8.752254192019680579e-01,1.947834523113096128e-01,6.263502412464398983e-01
8.892336454659172107e-01,1.966241070391618051e-01,6.355710940836218903e-01
9.078300394361843439e-01,2.031606880177489749e-01,7.699080470807488918e-01
9.376310022546122669e-01,2.038974221783642626e-01,7.402082237624250105e-01
9.351365695479809670e-01,2.069107353622741396e-01,7.585029523608453061e-01
9.238529388000719100e-01,2.053961763237879545e-01,8.031786858110262495e-01
9.179001456241271395e-01,2.039644673127386509e-01,7.890851864572628882e-01
9.174193137583330770e-01,2.015844917055095997e-01,9.213130305140493359e-01
8.851839113966293304e-01,1.985389938913667829e-01,8.377768582089847316e-01
8.557855946109967915e-01,2.042720716296283212e-01,7.929447309833611568e-01
8.266757332955004811e-01,2.045687398521058853e-01,7.759702783941058168e-01
8.270653048141467512e-01,1.942083303192564669e-01,8.907814208176562110e-01
8.246502545524921901e-01,1.921579431479913946e-01,8.791831492856818642e-01
8.063644706856205602e-01,1.892731822184479662e-01,7.915879245286232546e-01
8.494124200349482123e-01,1.875444986578098938e-01,8.270633838863817866e-01
8.372941819946777553e-01,1.891323330981834749e-01,7.932145546397030289e-01
8.231955482054365003e-01,1.927457625042864053e-01,7.881260762162908273e-01
8.044117480405643672e-01,1.977906706708108253e-01,7.637278245199059512e-01
8.387696367600473435e-01,1.923461750473927923e-01,7.333583906473818415e-01
8.766938938567082618e-01,1.823950854270399435e-01,7.052517530058539652e-01
8.598246369422732904e-01,1.747573796903329757e-01,7.112069814222926611e-01
8.702935387958349311e-01,1.773858810287749499e-01,7.282018774717867737e-01
8.857032935116478933e-01,1.740362862207005534e-01,7.571947628372467376e-01
8.470684406746483708e-01,1.714733762155419838e-01,7.367723648983194318e-01
7.974870460411632722e-01,1.692094623034525736e-01,7.651852940371194345e-01
7.553865572391634808e-01,1.694710354208367187e-01,7.367030985093543372e-01
8.207330906143468496e-01,1.732447542618445746e-01,7.033416809944105230e-01
8.269697097657529028e-01,1.682405839966570338e-01,7.313767425191045612e-01
8.339352166894284935e-01,1.680918588981316908e-01,7.290119265161597584e-01
8.280402228306673607e-01,1.604087540280676738e-01,6.580611873948071233e-01
8.140389353666581673e-01,1.525817059527768693e-01,6.403908200940803264e-01
8.631429696759072012e-01,1.481834685884168834e-01,7.158761498709491633e-01
8.389126696300948094e-01,1.530184422566565894e-01,6.498261514933204586e-01
8.460667377439362591e-01,1.506150604430567252e-01,6.394050186710027450e-01
9.080911608058541695e-01,1.499625248159492941e-01,5.901254933068565967e-01
8.978355820516148444e-01,1.610074838269058284e-01,6.860338258890676943e-01
8.945545221275098546e-01,1.591793412914032368e-01,6.202387148309862486e-01
8.845655289217992934e-01,1.577831675061575623e-01,6.639423513856529402e-01
8.516696369252259036e-01,1.510916400267134641e-01,6.529037333725628001e-01
8.452721094550251779e-01,1.541834877310629404e-01,7.126912183515339283e-01
8.794366082686876362e-01,1.527385244747417048e-01,7.577725824782440833e-01
8.705317720986669450e-01,1.565045749597558933e-01,7.810612266806715720e-01
8.713128614236755887e-01,1.552021164678545340e-01,8.162001492727902763e-01
8.366418019341296253e-01,1.605812966559374000e-01,8.237448588301155006e-01
7.710955129905470162e-01,1.637935898432248405e-01,7.499280293002453801e-01
7.982457535705507201e-01,1.641931271362836176e-01,8.162475479031404690e-01
7.568332450596281236e-01,1.564724816351679981e-01,7.628768996105159683e-01
7.415171337179583544e-01,1.517819202908674558e-01,8.431235986715274189e-01
7.296877895154041394e-01,1.562220302822847628e-01,8.468615092728741800e-01
7.693207654264766493e-01,1.535469184873603232e-01,8.102843155901340300e-01
7.322067078616203428e-01,1.568062995675474081e-01,8.333873620263978488e-01
7.529472600004739613e-01,1.681254612780057334e-01,7.752606013250791239e-01
6.971306488401743939e-01,1.722975324780749995e-01,7.883209277261554737e-01
7.156562361167349007e-01,1.815164518667090054e-01,8.084095728038546147e-01
7.443403172588363148e-01,1.879359948799309843e-01,7.499073347237822373e-01
7.492231444358323778e-01,1.842879037357440797e-01,7.168142042434636485e-01
7.564965194547087490e-01,1.813524106859874530e-01,8.084824276923886499e-01
7.594516058693397964e-01,1.880166217452846900e-01,7.930670056011210889e-01
7.834047528142342731e-01,1.856330174020051627e-01,8.028887211909655486e-01
7.648707192149174494e-01,1.830484637756751853e-01,6.348382751471418617e-01
8.344028172073102434e-01,1.851868246921496430e-01,7.185494133557334129e-01
8.184629862540014900e-01,1.905983694371602699e-01,7.427920962883030054e-01
8.121525812127837751e-01,2.003622047247650140e-01,7.996807929049278840e-01
8.034942213804607825e-01,1.927839619847409036e-01,8.464220871697487603e-01
7.994246710109226273e-01,1.982756168189798718e-01,8.416810830154606293e-01
7.755005671873916873e-01,1.990727289687831691e-01,8.434813855122066384e-01
7.617658291347727539e-01,1.942673465757976670e-01,8.418304813699416522e-01
7.082761523198599640e-01,1.990426114958827319e-01,8.688286712975918924e-01
6.449237878451881123e-01,2.001431077477709153e-01,9.005014240042772400e-01
6.014395814896977832e-01,2.038604342235963429e-01,9.144208371415459835e-01
6.031616244020704398e-01,1.974286610259219088e-01,9.534831445187011978e-01
