random,persistent,antipersistent
1.000000000000000000e+00,7.060050708734039171e-02,6.146183994393833450e-01
9.718189317578437292e-01,8.328772863462773068e-02,4.561622946370397225e-01
9.491678846423216021e-01,8.297352475786463899e-02,4.169541301996612659e-01
9.546777557200751829e-01,5.202411097435174353e-02,2.755666247635075172e-01
9.009306869249493754e-01,6.948002206671131942e-02,4.247537445662502575e-01
8.860777270689378371e-01,5.634659823263814954e-02,3.074179447917398944e-01
8.342216011554953736e-01,4.513588983948262079e-02,3.736668318922735654e-01
7.814194366701463501e-01,2.719864475769803724e-02,2.621133432921103346e-01
9.070757015372546972e-01,2.194191358399507838e-02,4.817068751205174082e-01
8.591330260915224226e-01,0.000000000000000000e+00,3.153700256404225466e-01
8.532868193556711889e-01,7.822970046726680782e-02,5.350658463343810345e-01
8.728507177817583784e-01,1.090420143341262194e-01,4.937881130484431114e-01
8.639235372505816857e-01,1.219559596928106865e-01,4.057735141919879274e-01
7.971500633384938084e-01,1.242778804338411924e-01,3.884214034790204884e-01
7.347219269201495928e-01,1.098496846787454101e-01,3.704209384296688889e-01
8.162186292376170105e-01,8.501622399290890975e-02,2.653834863072646599e-01
7.930236359731406282e-01,9.882061648237799867e-02,2.514386232433926116e-01
6.735334114738068534e-01,1.165887099527823101e-01,1.777115712413287474e-01
6.770066359508909448e-01,1.370226389693976199e-01,2.291601618733019596e-01
6.381463837533445371e-01,1.820272886343065888e-01,2.167178802420333672e-01
5.905457664743737345e-01,1.971018724145980339e-01,2.240436868603559173e-01
5.270090951289558845e-01,2.271792611489730218e-01,3.212223951705492908e-01
6.312711865325170146e-01,2.470118921235402720e-01,2.921151460340115635e-01
7.656297982297308735e-01,2.842235267303465096e-01,5.634546447007992426e-02
7.360647311310587471e-01,2.612613614344472812e-01,4.633276426092285821e-02
7.269224762937415152e-01,2.932107158166061822e-01,5.107012862409157639e-02
7.126834032380998663e-01,3.138943397831535642e-01,5.198083260524210408e-02
6.605790496974096593e-01,3.447078971547433701e-01,0.000000000000000000e+00
6.632948784720528179e-01,3.724818469574197044e-01,1.602484435429825035e-02
7.048627066487483939e-01,3.799284991282644297e-01,1.776319350136009445e-01
6.869368482088575867e-01,3.995930165253372413e-01,3.283192315298565922e-01
7.220839065050820293e-01,4.295961862922114682e-01,2.273888860768800979e-01
7.687428146821024821e-01,4.431140146816806569e-01,2.031663569928766622e-01
8.435143209190110181e-01,4.520550849882826183e-01,2.763142862759847551e-01
8.372557147183381510e-01,5.108150699817458618e-01,1.460452140263646670e-01
8.089447479894200654e-01,5.060195777508464943e-01,2.278708527597738398e-01
7.940090120269913676e-01,5.216812834536941335e-01,1.295769448939247948e-01
7.928025905072851875e-01,5.682951480549839340e-01,2.235847285726681455e-01
7.119230027093048641e-01,5.558993491064866399e-01,2.321955369080278830e-01
6.381617474007256208e-01,5.816875403439383252e-01,2.780634978744004893e-01
5.651242354864715045e-01,5.611106550860657238e-01,2.349897309704649939e-01
5.661016820681025186e-01,5.143684087846239761e-01,3.842456717488355600e-01
5.600422487940175387e-01,6.038478576318255797e-01,2.615385251421222246e-01
5.141626706482036457e-01,6.345628299019249186e-01,2.414780273017052004e-01
6.221712619434150993e-01,6.143018478226325296e-01,3.732822189010151503e-01
5.917662405778596479e-01,6.329681393739090556e-01,3.201777433019586949e-01
5.563923470990800313e-01,6.574200435515402674e-01,3.986197578825807497e-01
5.092632311796411182e-01,6.942434373755069776e-01,3.632304579151538482e-01
5.954682006743599043e-01,7.198868950644935483e-01,3.099132462098396767e-01
6.906212949992062144e-01,6.847895993925492419e-01,2.116716282436278684e-01
6.482958253063372256e-01,6.386133899588606333e-01,2.208041635580419437e-01
6.745626128932508125e-01,6.022946125285175700e-01,2.168592383125408085e-01
7.132261479562909123e-01,5.847513194140275816e-01,3.310404026566378666e-01
6.162901476846012194e-01,6.110351900325816654e-01,1.003851244394453474e-01
4.918889469361543143e-01,6.457267534327597591e-01,1.036873918008125450e-01
3.862575624666210183e-01,6.276143198846411142e-01,1.862946524578083241e-01
5.502139674187958018e-01,6.674235924761190430e-01,3.067517830897938391e-01
5.658618312350689461e-01,6.646559579674984342e-01,4.088353709945395376e-01
5.833384962529112316e-01,6.328483276974046223e-01,3.801793608044576334e-01
5.685477805044814037e-01,6.088766896061791334e-01,4.203007280469661100e-01
5.334181318646548098e-01,6.222940108199062070e-01,4.143507197577100398e-01
6.566216212949019804e-01,6.600128946160207510e-01,4.090281474846625409e-01
5.958270744194803514e-01,7.061520145359697631e-01,4.164944532551727030e-01
6.137768450981171409e-01,7.366671505758902727e-01,3.904569300894135120e-01
7.693979760015478009e-01,7.688557136855874719e-01,3.843073237443944135e-01
7.436664224454482275e-01,8.268221122482978247e-01,4.705404442404816368e-01
7.354341450497937638e-01,8.356198315734527649e-01,5.119376943192726070e-01
7.103714626011794486e-01,8.320900351777222870e-01,4.807320332698931664e-01
6.278346865722693737e-01,8.744529078675269407e-01,5.102730528539776156e-01
6.117830989758071825e-01,9.250709975462833023e-01,4.228181322283876553e-01
6.975028474178600613e-01,9.263218730842324167e-01,4.670456897291170306e-01
6.751603473690485080e-01,9.421812958860626974e-01,3.003220870761953987e-01
6.771201238263501176e-01,9.393120904493256207e-01,3.497032126311826472e-01
5.901293995112366630e-01,9.357387768512498427e-01,4.978767009618146888e-01
4.256718018687640770e-01,9.240901421263182369e-01,5.250347231857782626e-01
4.937925667994189083e-01,9.029188854458750635e-01,5.611841147708638289e-01
3.898873454387279947e-01,9.228766888897971254e-01,5.698188647834151466e-01
3.514587643997055255e-01,9.202398193224289313e-01,5.219532494818693857e-01
