yfun0,yfun1,yfun2,yfun3,yfunsqrt,yfunsin,yfunsins,yfunexp,yfunlog
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,1.282789811895687290e-03,-inf
5.000000000000000000e-01,1.001001001001000992e-03,1.002003004005005955e-06,1.003006010015021024e-09,3.163859985841663280e-02,5.249897667888182573e-01,5.614530752779690603e-01,1.291370313868621649e-03,0.000000000000000000e+00
5.000000000000000000e-01,2.002002002002001985e-03,4.008012016020023821e-06,8.024048080120168193e-09,4.474373701426829358e-02,5.499170721750833435e-01,6.215948358987058997e-01,1.300008210290299346e-03,1.003578674463339732e-01
5.000000000000000000e-01,3.003003003003002977e-03,9.018027036045054656e-06,2.708116227040556868e-08,5.479966243511909252e-02,5.747196108772194556e-01,6.791611017443828224e-01,1.308703885068650133e-03,1.590634565547838220e-01
5.000000000000000000e-01,4.004004004004003969e-03,1.603204806408009528e-05,6.419238464096134554e-08,6.327719971683326561e-02,5.993353894653836722e-01,7.329801055303709623e-01,1.317457724679540077e-03,2.007157348926679463e-01
5.000000000000000000e-01,5.005005005005004962e-03,2.505007510012514994e-05,1.253757512518776286e-07,7.074605999633482023e-02,6.237028813127550864e-01,7.820141325089062789e-01,1.326270118183948141e-03,2.330237519666246704e-01
5.000000000000000000e-01,6.006006006006005954e-03,3.607210814418021863e-05,2.166492981632445495e-07,7.749842582921284695e-02,6.477611803800598089e-01,8.253958840945428976e-01,1.335141457245258342e-03,2.594213240011177812e-01
5.000000000000000000e-01,7.007007007007006946e-03,4.909814719624529456e-05,3.440310614351521933e-07,8.370786705565379238e-02,6.714501534489496493e-01,8.624581379610146703e-01,1.344072136146667483e-03,2.817401531426702577e-01
5.000000000000000000e-01,8.008008008008007939e-03,6.412819225632038114e-05,5.135390771276907643e-07,8.948747402853658717e-02,6.947105904237309559e-01,8.927555440059091740e-01,1.353062551808707596e-03,3.010736023390018778e-01
5.000000000000000000e-01,9.009009009009008931e-03,8.116224332440548513e-05,7.311913813009503346e-07,9.491579957524989841e-02,7.174843523257681266e-01,9.160777085988638380e-01,1.362113103806888081e-03,3.181269131095676439e-01
5.000000000000000000e-01,1.001001001001000992e-02,1.002003004005005998e-04,1.003006010015021029e-06,1.000500375312773776e-01,7.397145166106520175e-01,9.324530662439454165e-01,1.371224194389454500e-03,3.333816194129586852e-01
5.000000000000000000e-01,1.101101101101101092e-02,1.212423634846057250e-04,1.335000999329993078e-06,1.049333646225594496e-01,7.613455194449162411e-01,9.421434043776844014e-01,1.380396228495265123e-03,3.471811798228584545e-01
5.000000000000000000e-01,1.201201201201201191e-02,1.442884325767208745e-04,1.733194385305956396e-06,1.095993248702381850e-01,7.823232945866835930e-01,9.456292788791225146e-01,1.389629613771790851e-03,3.597791914474517405e-01
5.000000000000000000e-01,1.301301301301301290e-02,1.693385076768460075e-04,2.203604204003001000e-06,1.140745940734088776e-01,8.025954085231137292e-01,9.435869201659676797e-01,1.398924760593229849e-03,3.713682387263531615e-01
5.000000000000000000e-01,1.401401401401401389e-02,1.963925887849811782e-04,2.752248491481217546e-06,1.183808008674295809e-01,8.221111915268783932e-01,9.368575680516868509e-01,1.408282082078749246e-03,3.820980205890042170e-01
5.000000000000000000e-01,1.501501501501501488e-02,2.254506759011263596e-04,3.385145283800696052e-06,1.225357703489679678e-01,8.408218643040916707e-01,9.264104743593152280e-01,1.417701994110844152e-03,3.920872085214084923e-01
5.000000000000000000e-01,1.601601601601601588e-02,2.565127690252815246e-04,4.108312617021526115e-06,1.265543994336665312e-01,8.586806599171404875e-01,9.133010636406619920e-01,1.427184915353821781e-03,4.014314697853358926e-01
5.000000000000000000e-01,1.701701701701701860e-02,2.895788681574467272e-04,4.927768527203798175e-06,1.304492890629037338e-01,8.756429406776730096e-01,8.986259342186708743e-01,1.436731267272409835e-03,4.102090540140171937e-01
5.000000000000000000e-01,1.801801801801801786e-02,3.246489732976219405e-04,5.849531050407602677e-06,1.342312110428048599e-01,8.916663097175731023e-01,8.834765065118903582e-01,1.446341474150487178e-03,4.184847805559015477e-01
5.000000000000000000e-01,1.901901901901902059e-02,3.617230844458071645e-04,6.879618222693029215e-06,1.379094594979583810e-01,9.067107169590502558e-01,8.688931782457288699e-01,1.456015963109941148e-03,4.263129463158064070e-01
5.000000000000000000e-01,2.002002002002001985e-02,4.008012016020023991e-04,8.024048080120168232e-06,1.414921199926696405e-01,9.207385592189765156e-01,8.558218246122970552e-01,1.465755164129651719e-03,4.337394868592925889e-01
5.000000000000000000e-01,2.102102102102102257e-02,4.418833247662076443e-04,9.288838658749109324e-06,1.449862787336133330e-01,9.337147741972613435e-01,8.450743865739465122e-01,1.475559510064600351e-03,4.408036096974540796e-01
5.000000000000000000e-01,2.202202202202202183e-02,4.849694539384229001e-04,1.068000799463994463e-05,1.483981873946647045e-01,9.456069281143408833e-01,8.372951261032787196e-01,1.485429436665109369e-03,4.475390472691924693e-01
5.000000000000000000e-01,2.302302302302302456e-02,5.300595891186482209e-04,1.220357412385276120e-05,1.517333945544718232e-01,9.563852967787365156e-01,8.329338997749291540e-01,1.495365382596207989e-03,4.539750311712489328e-01
5.000000000000000000e-01,2.402402402402402382e-02,5.771537303068834980e-04,1.386555508244765117e-05,1.549968516584256939e-01,9.660229398820534552e-01,8.322275208431164639e-01,1.505367789457128652e-03,4.601370588937857553e-01
5.000000000000000000e-01,2.502502502502502654e-02,6.262518775031287316e-04,1.567196890648470329e-05,1.581929992920831640e-01,9.744957683357204914e-01,8.351899559741661205e-01,1.515437101800933472e-03,4.660475039332493408e-01
5.000000000000000000e-01,2.602602602602602580e-02,6.773540307073840300e-04,1.762883363202400800e-05,1.613258380608203202e-01,9.817826044811673869e-01,8.416117490771040099e-01,1.525573767154273820e-03,4.717261061726871763e-01
5.000000000000000000e-01,2.702702702702702853e-02,7.304601899196493933e-04,1.974216729512565745e-05,1.643989873053572914e-01,9.878652350229415458e-01,8.510686952966411978e-01,1.535778236037277627e-03,4.771903696643514103e-01
5.000000000000000000e-01,2.802802802802802778e-02,7.855703551399247130e-04,2.201798793184974037e-05,1.674157341113075848e-01,9.927284565524610027e-01,8.629394179341789428e-01,1.546050961983575682e-03,4.824558880353381762e-01
5.000000000000000000e-01,2.902902902902903051e-02,8.426845263682100975e-04,2.446231357825634891e-05,1.703790745045559440e-01,9.963601135486189753e-01,8.764311446132595496e-01,1.556392401560456086e-03,4.875366127658224968e-01
5.000000000000000000e-01,3.003003003003002977e-02,9.018027036045054385e-04,2.708116227040556842e-05,1.732917483033454553e-01,9.987511287602555132e-01,8.906126506234182116e-01,1.566803014389157910e-03,4.924450759677424516e-01
5.000000000000000000e-01,3.103103103103103250e-02,9.629248868488107359e-04,2.988055204435749104e-05,1.761562687815310946e-01,9.998955258945581015e-01,9.044530501589215232e-01,1.577283263165298651e-03,4.971925766209228659e-01
5.000000000000000000e-01,3.203203203203203175e-02,1.026051076101126098e-03,3.286650093617220892e-05,1.789749480570731743e-01,9.997904445546812457e-01,9.168648815734448121e-01,1.587833613679437861e-03,5.017893372316698519e-01
5.000000000000000000e-01,3.303303303303303101e-02,1.091181271361451634e-03,3.604502698190980740e-05,1.817499189354235545e-01,9.984361473892497951e-01,9.267497601574101740e-01,1.598454534837779337e-03,5.062446363776422764e-01
