yfun0_noise,yfun1_noise,yfun2_noise,yfun3_noise,yfunsqrt_noise,yfunsin_noise,yfunsins_noise,yfunexp_noise,yfunlog_noise
5.226294354006049137e-01,2.262943540060487202e-02,2.262943540060487202e-02,2.262943540060487202e-02,2.262943540060487202e-02,5.226294354006049137e-01,5.226294354006049137e-01,2.391222521250056104e-02,-inf
5.121556949506190781e-01,1.315669595162002707e-02,1.215669695362303106e-02,1.215569595362503592e-02,4.379429480903565541e-02,5.371454617394373354e-01,5.736087702285881385e-01,1.344706526448764816e-02,1.215569495061902608e-02
4.737369401312238604e-01,-2.426105786677412723e-02,-2.625905185676010931e-02,-2.626305184472805046e-02,1.848067714549216436e-02,5.236540123063072594e-01,5.953317760299298156e-01,-2.496305165848582835e-02,7.409480757755784741e-02
4.998575219936688407e-01,2.860524996671837215e-03,-1.334599792951205789e-04,-1.424509251688952087e-04,5.465718442878792632e-02,5.745771328708882963e-01,6.790186237380516632e-01,1.166225878737484588e-03,1.589209785484526627e-01
5.105591955457809972e-01,1.456319954978503584e-02,1.057522759384511152e-02,1.055925973816567234e-02,7.383639526261429054e-02,6.098945850111646694e-01,7.435393010761519594e-01,1.187665327046057151e-02,2.112749304384489712e-01
4.877626202813995504e-01,-7.232374713595427287e-03,-1.221232964350030779e-02,-1.223725434284918083e-02,5.850868027773438451e-02,6.114655015941546923e-01,7.697767527903058848e-01,-1.091110960041648432e-02,2.207863722480242485e-01
5.045121944822200666e-01,1.051820048822612111e-02,4.548266590364295238e-03,4.512411131518278065e-03,8.201062031143296904e-02,6.522733748622798755e-01,8.299080785767629642e-01,5.847335939465373930e-03,2.639335184833379033e-01
5.018447106837445881e-01,8.851717690751572526e-03,1.893808830940809946e-03,1.845054714805999816e-03,8.555257773939835275e-02,6.732948641326942374e-01,8.643028486447592584e-01,3.188782819891232412e-03,2.835848638264148458e-01
5.000729300415682754e-01,8.080938049576239998e-03,1.370582338245524272e-04,7.344358064535973674e-05,8.956040407010482096e-02,6.947835204652992314e-01,8.928284740474774495e-01,1.425992593376939656e-03,3.011465323805700978e-01
4.970327844460034616e-01,6.041793455012478380e-03,-2.886053310672125147e-03,-2.966484362615229645e-03,9.194858402125337393e-02,7.145171367717716437e-01,9.131104930448673551e-01,-1.605102450189642470e-03,3.151596975555711055e-01
5.073589948245463832e-01,1.736900483455644170e-02,7.459195124946932202e-03,7.359997830556446602e-03,1.074090323558238025e-01,7.470735114351984008e-01,9.398120610684917997e-01,8.730219018935886713e-03,3.407406142375051239e-01
5.204448276178599286e-01,3.145583862887098986e-02,2.056606998134458131e-02,2.044616261885930791e-02,1.253781922404194338e-01,7.817903470627761697e-01,9.625882319955443300e-01,2.182522384635524060e-02,3.676260074407184386e-01
4.835993447060527028e-01,-4.388643281935260959e-03,-1.625636686137055253e-02,-1.639892209956196611e-02,9.319866957629091564e-02,7.659226392927362959e-01,9.292286235851752174e-01,-1.501102568017548267e-02,3.433785361535044434e-01
5.174748405377070926e-01,3.048785355072007597e-02,1.764417904538391133e-02,1.747704414191106684e-02,1.315494346111159563e-01,8.200702490608208217e-01,9.610617607036747723e-01,1.887376529830029487e-02,3.888430792640602540e-01
5.038854184420186177e-01,1.789943245603259001e-02,4.081811030803556180e-03,3.888170690510056073e-03,1.222662193094481570e-01,8.259966099688970109e-01,9.407429864937054687e-01,5.293700524097323841e-03,3.859834390310227792e-01
5.075648204774415584e-01,2.257983549245658889e-02,7.790271153342701906e-03,7.568205622725376197e-03,1.301005908264095401e-01,8.483866847815332290e-01,9.339752948367567864e-01,8.982522471552420104e-03,3.996520289988500507e-01
4.806841941931295770e-01,-3.299789790854407157e-03,-1.905929303784514167e-02,-1.931169749425340129e-02,1.072385936267961082e-01,8.393648541102700644e-01,8.939852578337915689e-01,-1.788862089151660104e-02,3.821156639784654696e-01
5.022965622222882454e-01,1.931357923930531600e-02,2.586141090445743043e-03,2.301489990815500271e-03,1.327458512851920347e-01,8.779395028999612549e-01,9.009224964409591196e-01,3.733293489560706585e-03,4.125056162363054946e-01
5.252287283467398371e-01,4.324674636475785150e-02,2.555337732003746046e-02,2.523457787779024436e-02,1.594599393895446970e-01,9.168950380643129394e-01,9.087052348586301953e-01,2.667506982089032364e-02,4.437135089026413848e-01
4.816494273317156738e-01,6.684463507346805056e-04,-1.798884958383853427e-02,-1.834369305006164699e-02,1.195588868296740409e-01,8.883601442907659296e-01,8.505426055774445437e-01,-1.689455670517439959e-02,4.079623736475220808e-01
4.663898107796199954e-01,-1.359016920036000553e-02,-3.320938801877802021e-02,-3.360216517229990679e-02,1.078819307722896081e-01,8.871283699985964555e-01,8.222116353919169951e-01,-3.214443405625037192e-02,4.001292976389125844e-01
4.703725363490082190e-01,-8.606442629970772334e-03,-2.918558032622558737e-02,-2.961817481233304516e-02,1.153588150826215381e-01,9.040873105462695625e-01,8.154469229229547311e-01,-2.815190414092719542e-02,4.111761460464622986e-01
5.045216871525856073e-01,2.654370917460762216e-02,5.006656606524021932e-03,4.532367160580239029e-03,1.529198745472503118e-01,9.501286152669264906e-01,8.418168132558643268e-01,6.007116589250708835e-03,4.520607344217780765e-01
5.405309485906522049e-01,6.355397161367523640e-02,4.106100817977086787e-02,4.054315216477607370e-02,1.922643431451240281e-01,9.969162453693887205e-01,8.734648483655813589e-01,4.202631397324842893e-02,4.945059797619011377e-01
5.190963925741169938e-01,4.312041659814096206e-02,1.967354630442382651e-02,1.911025812919938879e-02,1.740932442325426321e-01,9.851193324561704490e-01,8.513239134172334577e-01,2.060176036357407037e-02,4.792334514679026936e-01
5.284251126068671978e-01,5.345013763189225553e-02,2.905136448437035945e-02,2.844078457577371710e-02,1.866181118989503895e-01,1.002920880942587800e+00,8.636150685810333183e-01,2.994054970866816615e-02,4.944726165401165940e-01
