random,persistent,antipersistent
7.134820194096481993e-03,2.280749372479096149e-02,6.991366007958529361e-01
0.000000000000000000e+00,2.482271975739918507e-02,6.714169609462338206e-01
1.862215427014503669e-02,2.746520874652263675e-02,7.437662837812485384e-01
1.664770433343116043e-02,2.894388591834291466e-02,7.360953068458944148e-01
3.174909753546197727e-02,2.979244123660040877e-02,6.774245668132100606e-01
2.990760942830819266e-02,2.333787384647559998e-02,6.845789709508077747e-01
1.669544331846810337e-02,3.088911683520650237e-02,7.359098351120580972e-01
4.977626361681172090e-02,2.622605460818221157e-02,6.073868450920998363e-01
5.388496315855523244e-02,2.249123198239608851e-02,6.233496400118180292e-01
7.640455922979619285e-02,2.611445433932185409e-02,7.108409958795113281e-01
5.750845637411124145e-02,2.435599358121774347e-02,6.374273496387347082e-01
4.983291065415947768e-02,2.465896872348983734e-02,6.672477735903283858e-01
6.930641360976083631e-02,2.168898091403488257e-02,5.915908580893033397e-01
6.276324847542158469e-02,2.334427973951239133e-02,6.170118464346778797e-01
4.221051266125747103e-02,2.037671238740930771e-02,5.371619806785099538e-01
4.861352350603351247e-02,1.812440060075145090e-02,5.122855087083744152e-01
1.519222205759126164e-02,2.154387066185279101e-02,6.421313091986129429e-01
5.001830411359740186e-03,1.821847842906438100e-02,6.817222138991730906e-01
3.790772679135433892e-02,1.801262086414377392e-02,5.538788244698129581e-01
9.193534898357759444e-02,1.228520825546297081e-02,3.439749742874503302e-01
6.514452847615206932e-02,6.817547464897266707e-03,4.480605539571524409e-01
9.887636114486086925e-02,4.373132210109726553e-03,3.170083020983183175e-01
1.071674522031217658e-01,3.234722861922983712e-03,2.847964100193063897e-01
1.259523501215328023e-01,4.636435958088728528e-03,3.577780116216934814e-01
1.278485890297612060e-01,3.647625657952942822e-03,3.651451292469447552e-01
1.107744034698259772e-01,2.487256849720015459e-03,4.314804063207223206e-01
1.252146471021894913e-01,6.599361229464532214e-03,3.753783123729206861e-01
1.408724587228053771e-01,4.103458252456631053e-03,3.145458194509854200e-01
1.307522705284392406e-01,0.000000000000000000e+00,3.538639752456209653e-01
1.529457270753237508e-01,2.276898152606168877e-03,2.676397108966975247e-01
1.744029871651442964e-01,6.004671086362526125e-03,3.510037629216630206e-01
1.416740334944637802e-01,1.101119712337710575e-02,4.781597085132288094e-01
1.718444766200428742e-01,1.698491197240899545e-02,5.953755310277834001e-01
2.006445923913919571e-01,1.188736238182146361e-02,4.834835961098311596e-01
1.967856176467035478e-01,1.273629045627304793e-02,4.684910122462534465e-01
2.025338797680262815e-01,1.648324313537810615e-02,4.908237061936240320e-01
2.076733251613768483e-01,2.217914550656784750e-02,4.708563389082731643e-01
2.158282449643262879e-01,2.137512412728382466e-02,5.025391891821072710e-01
2.302070272614862578e-01,2.005986923809766065e-02,4.466758799591017959e-01
2.267636523028583317e-01,2.065633502658389270e-02,4.332979515567377815e-01
2.079238457706890364e-01,1.844706338142991162e-02,5.064928797681514938e-01
2.382029175422444023e-01,1.969082046216770812e-02,3.888550218186598850e-01
2.425900022049462534e-01,2.068867318604055219e-02,3.718106670162072969e-01
2.463741936069750171e-01,2.256772643047089827e-02,3.865127085439050147e-01
2.365977132016232887e-01,2.462925212851464069e-02,3.485298991021981707e-01
2.217518115136557499e-01,2.993734899693806933e-02,2.908517745190702386e-01
2.343417646625843842e-01,3.197973353608573460e-02,2.419382830059072509e-01
2.454470948331227143e-01,3.427916562256555499e-02,2.850838345915160943e-01
2.702723710487650033e-01,3.307403407628801972e-02,3.815330368341054990e-01
2.617329651073533880e-01,3.836942611681977422e-02,4.147096622831233925e-01
2.451654498785515723e-01,4.080894061240267906e-02,3.503428607587544263e-01
2.598671820945320232e-01,4.395058692324432803e-02,2.932248520204655540e-01
2.462436515062005615e-01,4.417778478052218627e-02,3.461539169605025168e-01
2.918247931466707024e-01,4.573671959446704710e-02,1.690656658432903581e-01
2.701472794572880032e-01,4.458196360651574958e-02,2.532854297557814438e-01
2.679146487702037671e-01,4.890484054491475024e-02,2.619594701491735900e-01
2.553044569542665121e-01,5.676209997567390614e-02,3.109515913327771108e-01
2.744083674529499417e-01,5.635400795656141798e-02,3.851725954137248942e-01
2.857551946585375480e-01,5.643510024953542203e-02,4.292563922044273506e-01
2.855921532641718663e-01,5.388159065066105285e-02,4.298898277514275335e-01
2.700835937991952207e-01,5.398711105588272635e-02,4.901424579874719134e-01
2.524906878094309026e-01,5.463365733287690873e-02,5.584930267022916173e-01
2.548946778273907254e-01,5.068307160151241941e-02,5.678328188325914017e-01
2.404205769552144323e-01,4.783907042682213756e-02,6.240664522541825576e-01
2.555332178359147610e-01,5.005773429747188696e-02,6.827808908795969245e-01
2.358186515678371287e-01,5.260179888266278830e-02,7.593743665210344052e-01
2.411113709323445264e-01,5.088693498745538307e-02,7.799372217322482204e-01
2.483574358112665414e-01,4.711728663215637714e-02,7.517853828201915833e-01
2.431725995422700237e-01,4.997954024143804602e-02,7.316416664901368438e-01
2.709185727681137634e-01,5.245151934633256186e-02,6.238452029248818809e-01
2.464623128926954621e-01,4.943772607055151036e-02,5.288296738192967972e-01
2.098838195123610417e-01,5.212492717031383394e-02,3.867178006170105542e-01
2.234718989732370209e-01,5.279519749153804842e-02,3.339264675971336804e-01
2.162311152258096225e-01,5.418588499580863360e-02,3.620577886742558649e-01
2.026920173222803434e-01,5.357120228944101809e-02,4.146588224165074776e-01
1.765253698424076034e-01,5.601961800552700266e-02,5.163194143420299920e-01
1.839931162028047018e-01,5.783716584042009057e-02,4.873063160484258916e-01
1.873003630788850349e-01,5.799655372219099381e-02,4.744572617198276610e-01
1.810609656726804295e-01,6.135289292831117708e-02,4.986980756819996419e-01
1.994025703728881105e-01,6.137965999003312106e-02,5.699574294880731529e-01
1.764368654539616443e-01,6.114002971654257379e-02,6.591819722133417381e-01
1.698833558654004594e-01,5.954644277429464033e-02,6.846431500151667349e-01
2.021120778912373350e-01,6.022524617884007780e-02,5.594306648976183904e-01
2.224906264890605112e-01,6.036411312441215815e-02,4.802575375555977466e-01
2.161353188767447808e-01,6.097535134911037658e-02,5.049486766949836669e-01
1.833915874161314574e-01,6.536289870798281387e-02,3.777353176012458458e-01
2.021828448062890915e-01,6.577008682653309735e-02,3.047290086815536148e-01
2.259585953708933004e-01,6.394722203633558533e-02,2.123573405979589379e-01
2.284756009367508445e-01,6.419353475849211288e-02,2.221362118080265069e-01
2.209820979620447656e-01,6.530796617792494763e-02,2.512493776650684407e-01
1.957390223600807277e-01,6.747898437446808728e-02,3.493217810820634650e-01
1.994811317026920217e-01,7.284003337582856119e-02,3.347832334476172900e-01
1.844085535906311579e-01,7.033823880178084742e-02,3.933420233688103007e-01
1.999247870703831642e-01,7.169770797523203343e-02,4.536244680809011220e-01
2.085152224722666980e-01,7.731998225942038339e-02,4.202495870027962988e-01
2.078957918060264920e-01,8.240971971113869587e-02,4.226561500993961662e-01
2.383539544787862952e-01,8.348526264535145736e-02,5.409897978721321943e-01
2.439410624416213647e-01,8.790825706556838759e-02,5.192832073319988417e-01
2.849629201481634899e-01,8.759850926455811648e-02,6.786580886399464774e-01
2.797898847129015043e-01,9.256482932913254191e-02,6.585602199769873266e-01
2.630523968607170748e-01,9.362483360677437139e-02,5.935330542421286548e-01
2.721958244843663555e-01,9.804335469108829693e-02,6.290563770202316496e-01
2.441238240088152434e-01,1.048957668267957166e-01,7.381194959036582182e-01
2.386991955992256165e-01,1.063894316473374818e-01,7.170441580897836120e-01
2.408147594521962420e-01,1.086573526734868483e-01,7.252633796662070198e-01
2.637281413063721214e-01,1.100164238421906387e-01,6.362421183791889812e-01
2.879643455829257181e-01,1.130451096000058137e-01,7.304027048539183387e-01
2.955330917305516447e-01,1.132122363026801665e-01,7.598081995430459035e-01
3.092096176594482659e-01,1.127981933717123464e-01,7.066732412918659278e-01
2.964979530608399805e-01,1.165038170802932538e-01,6.572868860682081760e-01
2.737043347239895286e-01,1.233388953285158990e-01,5.687309205387667266e-01
2.879649963691607861e-01,1.241474584764917927e-01,6.241353167348343556e-01
2.995524095435079803e-01,1.181832593108109036e-01,5.791168143418230496e-01
3.333869703443453902e-01,1.224845380993989652e-01,4.476654512583801426e-01
3.245133591451611621e-01,1.264409071331990819e-01,4.131903979402237748e-01
3.488115247354117154e-01,1.267012909729905434e-01,3.187890842637481903e-01
3.562261418622647557e-01,1.293230932825695234e-01,3.475957690557837099e-01
3.643428432660214544e-01,1.269505292566339705e-01,3.160614018876809483e-01
3.345890500391435207e-01,1.293781796038322163e-01,4.316584891263370305e-01
3.579839081565836523e-01,1.299981545840992458e-01,3.407666342923549863e-01
3.501256595311063036e-01,1.316650864991572856e-01,3.712968811410747860e-01
3.528755744262782046e-01,1.356585385471928418e-01,3.819806332802444526e-01
3.957989331485292084e-01,1.315171484674770019e-01,5.487430761377805055e-01
3.608063299786947176e-01,1.330409366925134340e-01,4.127925783142975535e-01
3.564522776945937554e-01,1.301510273831828768e-01,3.958765583000085075e-01
3.954839291622044839e-01,1.330096609230653482e-01,2.442338690682244184e-01
3.919936597595509165e-01,1.282001899214489649e-01,2.577939880603966616e-01
3.723174244543789313e-01,1.272841557160206138e-01,3.342385432724569450e-01
3.714964614203815629e-01,1.275985016151086893e-01,3.374280840055348674e-01
4.057926983561896406e-01,1.245630938536570337e-01,4.706731147414774385e-01
4.228641664711020876e-01,1.196545356525798715e-01,5.369978342124992476e-01
4.350715114592951238e-01,1.282120846237765066e-01,5.844248467212027620e-01
4.367309744012091155e-01,1.298339220449951648e-01,5.779776323777061631e-01
4.402598343677825432e-01,1.320761875594734236e-01,5.642675843748017339e-01
4.574169570301592214e-01,1.259824381401756233e-01,4.976100866216929264e-01
5.018177935982665039e-01,1.357599313638259142e-01,3.251074635411406177e-01
4.984777394557636798e-01,1.416443741823861513e-01,3.380839780698479125e-01
4.785870090031739132e-01,1.419924014504898024e-01,2.608060832536823748e-01
4.797338654241985467e-01,1.410517184740959773e-01,2.563504072751440210e-01
5.065295879931963619e-01,1.403099625241408521e-01,1.522457825030276157e-01
4.931583617915763496e-01,1.403474260677507746e-01,2.041946143689491455e-01
5.172298402806104756e-01,1.445270742839155909e-01,2.977152212254448038e-01
5.319166596330678898e-01,1.474483969535112515e-01,2.406551507665716794e-01
5.272840959226826607e-01,1.503206748227993439e-01,2.586532213750712406e-01
5.425672846756044443e-01,1.479304388219363775e-01,3.180302591223262421e-01
5.519327816986966395e-01,1.507890112707237218e-01,2.816441698544281946e-01
5.923703337814857361e-01,1.546571090952637839e-01,1.245393866024827323e-01
5.990612762850253681e-01,1.529489801415292727e-01,1.505345079099670302e-01
6.481810306591030413e-01,1.488276050465715261e-01,3.413706977102086149e-01
6.364399118290313684e-01,1.497336595328964404e-01,3.869863651758670420e-01
