uniform,persistent,antipersistent
2.860538216605156281e-01,2.280749372479096149e-02,6.991366007958529361e-01
9.581055665190000292e-01,2.482271975739918507e-02,6.714169609462338206e-01
7.703129322188779771e-01,2.746520874652263675e-02,7.437662837812485384e-01
9.868700030924628663e-01,2.894388591834291466e-02,7.360953068458944148e-01
2.081654619047211829e-01,2.979244123660040877e-02,6.774245668132100606e-01
1.369170488438281597e-01,2.333787384647559998e-02,6.845789709508077747e-01
9.083738022899001674e-01,3.088911683520650237e-02,7.359098351120580972e-01
6.863851797712028358e-02,2.622605460818221157e-02,6.073868450920998363e-01
7.533272233965715436e-02,2.249123198239608851e-02,6.233496400118180292e-01
5.435346894873127610e-01,2.611445433932185409e-02,7.108409958795113281e-01
8.939971651806799535e-02,2.435599358121774347e-02,6.374273496387347082e-01
3.823932675263133074e-01,2.465896872348983734e-02,6.672477735903283858e-01
6.685604396811186678e-01,2.168898091403488257e-02,5.915908580893033397e-01
4.291690225618433052e-01,2.334427973951239133e-02,6.170118464346778797e-01
4.395630748640333429e-02,2.037671238740930771e-02,5.371619806785099538e-01
1.942859887490205884e-01,1.812440060075145090e-02,5.122855087083744152e-01
4.466594839727707766e-01,2.154387066185279101e-02,6.421313091986129429e-01
6.257327810201052110e-02,1.821847842906438100e-02,6.817222138991730906e-01
2.975672820151685771e-01,1.801262086414377392e-02,5.538788244698129581e-01
9.436308999175150314e-01,1.228520825546297081e-02,3.439749742874503302e-01
2.828110757610974302e-01,6.817547464897266707e-03,4.480605539571524409e-01
2.676935465528436087e-01,4.373132210109726553e-03,3.170083020983183175e-01
4.072190041343882738e-01,3.234722861922983712e-03,2.847964100193063897e-01
8.259904029529642200e-01,4.636435958088728528e-03,3.577780116216934814e-01
5.067006631921282533e-01,3.647625657952942822e-03,3.651451292469447552e-01
2.694753810459142862e-01,2.487256849720015459e-03,4.314804063207223206e-01
3.401882874191934913e-01,6.599361229464532214e-03,3.753783123729206861e-01
9.744718514900727602e-01,4.103458252456631053e-03,3.145458194509854200e-01
1.843045791203615780e-01,0.000000000000000000e+00,3.538639752456209653e-01
2.422721726255189223e-01,2.276898152606168877e-03,2.676397108966975247e-01
6.904593137000275549e-01,6.004671086362526125e-03,3.510037629216630206e-01
3.839352764141928942e-01,1.101119712337710575e-02,4.781597085132288094e-01
4.614424528960533456e-01,1.698491197240899545e-02,5.953755310277834001e-01
6.752249870445535818e-01,1.188736238182146361e-02,4.834835961098311596e-01
8.573060385252651017e-02,1.273629045627304793e-02,4.684910122462534465e-01
2.340166472858205005e-01,1.648324313537810615e-02,4.908237061936240320e-01
5.224588782237448159e-01,2.217914550656784750e-02,4.708563389082731643e-01
6.911667553449807322e-02,2.137512412728382466e-02,5.025391891821072710e-01
9.023669828838509765e-02,2.005986923809766065e-02,4.466758799591017959e-01
8.396785798333539219e-02,2.065633502658389270e-02,4.332979515567377815e-01
3.228005526997986818e-01,1.844706338142991162e-02,5.064928797681514938e-01
9.109033998611134608e-01,1.969082046216770812e-02,3.888550218186598850e-01
8.319900129914032938e-01,2.068867318604055219e-02,3.718106670162072969e-01
7.500802696904917966e-01,2.256772643047089827e-02,3.865127085439050147e-01
4.692538147471124743e-01,2.462925212851464069e-02,3.485298991021981707e-01
8.673243704245647834e-01,2.993734899693806933e-02,2.908517745190702386e-01
2.792879046859825243e-01,3.197973353608573460e-02,2.419382830059072509e-01
8.163609728884191341e-02,3.427916562256555499e-02,2.850838345915160943e-01
1.492114769302613775e-01,3.307403407628801972e-02,3.815330368341054990e-01
4.947675447585815345e-01,3.836942611681977422e-02,4.147096622831233925e-01
3.037119310372007330e-01,4.080894061240267906e-02,3.503428607587544263e-01
3.017668730858368287e-01,4.395058692324432803e-02,2.932248520204655540e-01
7.386922447004118375e-03,4.417778478052218627e-02,3.461539169605025168e-01
5.794633667772532970e-01,4.573671959446704710e-02,1.690656658432903581e-01
7.183180639839140680e-01,4.458196360651574958e-02,2.532854297557814438e-01
4.072634819408401663e-01,4.890484054491475024e-02,2.619594701491735900e-01
1.629642002887278229e-01,5.676209997567390614e-02,3.109515913327771108e-01
2.103066786435099367e-01,5.635400795656141798e-02,3.851725954137248942e-01
7.601230260788096604e-01,5.643510024953542203e-02,4.292563922044273506e-01
3.577881493231720444e-01,5.388159065066105285e-02,4.298898277514275335e-01
3.870511364463750104e-01,5.398711105588272635e-02,4.901424579874719134e-01
7.539235582166029515e-01,5.463365733287690873e-02,5.584930267022916173e-01
8.674365465527742458e-01,5.068307160151241941e-02,5.678328188325914017e-01
7.496248132571022849e-01,4.783907042682213756e-02,6.240664522541825576e-01
3.974358226105584313e-01,5.005773429747188696e-02,6.827808908795969245e-01
4.200798620312942155e-01,5.260179888266278830e-02,7.593743665210344052e-01
5.535758096645962967e-01,5.088693498745538307e-02,7.799372217322482204e-01
4.654829773158402073e-01,4.711728663215637714e-02,7.517853828201915833e-01
8.615691365863483719e-01,4.997954024143804602e-02,7.316416664901368438e-01
8.237336530564873804e-01,5.245151934633256186e-02,6.238452029248818809e-01
7.404448852014722249e-02,4.943772607055151036e-02,5.288296738192967972e-01
3.206589836303395114e-01,5.212492717031383394e-02,3.867178006170105542e-01
4.203860169424600279e-01,5.279519749153804842e-02,3.339264675971336804e-01
6.613421108348620514e-01,5.418588499580863360e-02,3.620577886742558649e-01
6.315132242398457940e-01,5.357120228944101809e-02,4.146588224165074776e-01
5.151690981977135042e-01,5.601961800552700266e-02,5.163194143420299920e-01
3.535470809675820281e-01,5.783716584042009057e-02,4.873063160484258916e-01
4.223346123892646187e-02,5.799655372219099381e-02,4.744572617198276610e-01
3.692204680574806552e-02,6.135289292831117708e-02,4.986980756819996419e-01
7.802564944371080946e-01,6.137965999003312106e-02,5.699574294880731529e-01
1.802325557248047883e-01,6.114002971654257379e-02,6.591819722133417381e-01
4.029011030129517890e-01,5.954644277429464033e-02,6.846431500151667349e-01
8.255521940349955790e-01,6.022524617884007780e-02,5.594306648976183904e-01
4.390382070089046129e-01,6.036411312441215815e-02,4.802575375555977466e-01
5.425157962540653189e-01,6.097535134911037658e-02,5.049486766949836669e-01
1.529717772524941122e-02,6.536289870798281387e-02,3.777353176012458458e-01
4.321794877598793549e-01,6.577008682653309735e-02,3.047290086815536148e-01
4.641259779556304865e-01,6.394722203633558533e-02,2.123573405979589379e-01
3.187445236875540155e-01,6.419353475849211288e-02,2.221362118080265069e-01
6.188319656373417743e-01,6.530796617792494763e-02,2.512493776650684407e-01
